Column,dtype,Units,Transformations,Non-null count
TN-TEC-BOT-U__roll_min_6h,float64,°C,None,1683
TN-TEC-BOT-U__roll_max_6h,float64,°C,None,1683
TN-TEC-BOT-U__roll_mean_12h,float64,°C,None,1683
TN-TEC-BOT-U__roll_std_12h,float64,°C,None,1683
TN-TEC-BOT-U__roll_min_12h,float64,°C,None,1683
TN-TEC-BOT-U__roll_max_12h,float64,°C,None,1683
TN-TEC-BOT-U__roll_mean_24h,float64,°C,None,1683
TN-TEC-BOT-U__roll_std_24h,float64,°C,None,1683
TN-TEC-BOT-U__roll_min_24h,float64,°C,None,1683
TN-TEC-BOT-U__roll_max_24h,float64,°C,None,1683
TN-TEC-BOT-L__roll_mean_3h,float64,°C,None,1680
TN-TEC-BOT-L__roll_std_3h,float64,°C,None,1680
TN-TEC-BOT-L__roll_min_3h,float64,°C,None,1680
TN-TEC-BOT-L__roll_max_3h,float64,°C,None,1680
TN-TEC-BOT-L__roll_mean_6h,float64,°C,None,1683
TN-TEC-BOT-L__roll_std_6h,float64,°C,None,1683
TN-TEC-BOT-L__roll_min_6h,float64,°C,None,1683
TN-TEC-BOT-L__roll_max_6h,float64,°C,None,1683
TN-TEC-BOT-L__roll_mean_12h,float64,°C,None,1683
TN-TEC-BOT-L__roll_std_12h,float64,°C,None,1683
TN-TEC-BOT-L__roll_min_12h,float64,°C,None,1683
TN-TEC-BOT-L__roll_max_12h,float64,°C,None,1683
TN-TEC-BOT-L__roll_mean_24h,float64,°C,None,1683
TN-TEC-BOT-L__roll_std_24h,float64,°C,None,1683
TN-TEC-BOT-L__roll_min_24h,float64,°C,None,1683
TN-TEC-BOT-L__roll_max_24h,float64,°C,None,1683
TC-TEC-INT-U__roll_mean_3h,float64,°C,None,1680
TC-TEC-INT-U__roll_std_3h,float64,°C,None,1680
TC-TEC-INT-U__roll_min_3h,float64,°C,None,1680
TC-TEC-INT-U__roll_max_3h,float64,°C,None,1680
TC-TEC-INT-U__roll_mean_6h,float64,°C,None,1683
TC-TEC-INT-U__roll_std_6h,float64,°C,None,1683
TC-TEC-INT-U__roll_min_6h,float64,°C,None,1683
TC-TEC-INT-U__roll_max_6h,float64,°C,None,1683
TC-TEC-INT-U__roll_mean_12h,float64,°C,None,1683
TC-TEC-INT-U__roll_std_12h,float64,°C,None,1683
TC-TEC-INT-U__roll_min_12h,float64,°C,None,1683
TC-TEC-INT-U__roll_max_12h,float64,°C,None,1683
TC-TEC-INT-U__roll_mean_24h,float64,°C,None,1683
TC-TEC-INT-U__roll_std_24h,float64,°C,None,1683
TC-TEC-INT-U__roll_min_24h,float64,°C,None,1683
TC-TEC-INT-U__roll_max_24h,float64,°C,None,1683
TC-TEC-INT-L__roll_mean_3h,float64,°C,None,1680
TC-TEC-INT-L__roll_std_3h,float64,°C,None,1680
TC-TEC-INT-L__roll_min_3h,float64,°C,None,1680
TC-TEC-INT-L__roll_max_3h,float64,°C,None,1680
TC-TEC-INT-L__roll_mean_6h,float64,°C,None,1683
TC-TEC-INT-L__roll_std_6h,float64,°C,None,1683
TC-TEC-INT-L__roll_min_6h,float64,°C,None,1683
TC-TEC-INT-L__roll_max_6h,float64,°C,None,1683
TC-TEC-INT-L__roll_mean_12h,float64,°C,None,1683
TC-TEC-INT-L__roll_std_12h,float64,°C,None,1683
TC-TEC-INT-L__roll_min_12h,float64,°C,None,1683
TC-TEC-INT-L__roll_max_12h,float64,°C,None,1683
TC-TEC-INT-L__roll_mean_24h,float64,°C,None,1683
TC-TEC-INT-L__roll_std_24h,float64,°C,None,1683
TC-TEC-INT-L__roll_min_24h,float64,°C,None,1683
TC-TEC-INT-L__roll_max_24h,float64,°C,None,1683
TC-TEC-BOT-U__roll_mean_3h,float64,°C,None,1680
TC-TEC-BOT-U__roll_std_3h,float64,°C,None,1680
TC-TEC-BOT-U__roll_min_3h,float64,°C,None,1680
TC-TEC-BOT-U__roll_max_3h,float64,°C,None,1680
TC-TEC-BOT-U__roll_mean_6h,float64,°C,None,1683
TC-TEC-BOT-U__roll_std_6h,float64,°C,None,1683
TC-TEC-BOT-U__roll_min_6h,float64,°C,None,1683
TC-TEC-BOT-U__roll_max_6h,float64,°C,None,1683
TC-TEC-BOT-U__roll_mean_12h,float64,°C,None,1683
TC-TEC-BOT-U__roll_std_12h,float64,°C,None,1683
TC-TEC-BOT-U__roll_min_12h,float64,°C,None,1683
TC-TEC-BOT-U__roll_max_12h,float64,°C,None,1683
TC-TEC-BOT-U__roll_mean_24h,float64,°C,None,1683
TC-TEC-BOT-U__roll_std_24h,float64,°C,None,1683
TC-TEC-BOT-U__roll_min_24h,float64,°C,None,1683
TC-TEC-BOT-U__roll_max_24h,float64,°C,None,1683
TC-TEC-BOT-L__roll_mean_3h,float64,°C,None,1680
TC-TEC-BOT-L__roll_std_3h,float64,°C,None,1680
TC-TEC-BOT-L__roll_min_3h,float64,°C,None,1680
TC-TEC-BOT-L__roll_max_3h,float64,°C,None,1680
TC-TEC-BOT-L__roll_mean_6h,float64,°C,None,1683
TC-TEC-BOT-L__roll_std_6h,float64,°C,None,1683
TC-TEC-BOT-L__roll_min_6h,float64,°C,None,1683
TC-TEC-BOT-L__roll_max_6h,float64,°C,None,1683
TC-TEC-BOT-L__roll_mean_12h,float64,°C,None,1683
TC-TEC-BOT-L__roll_std_12h,float64,°C,None,1683
TC-TEC-BOT-L__roll_min_12h,float64,°C,None,1683
TC-TEC-BOT-L__roll_max_12h,float64,°C,None,1683
TC-TEC-BOT-L__roll_mean_24h,float64,°C,None,1683
TC-TEC-BOT-L__roll_std_24h,float64,°C,None,1683
TC-TEC-BOT-L__roll_min_24h,float64,°C,None,1683
TC-TEC-BOT-L__roll_max_24h,float64,°C,None,1683
TU-TEC-INT-U__roll_mean_3h,float64,°C,None,1680
TU-TEC-INT-U__roll_std_3h,float64,°C,None,1680
TU-TEC-INT-U__roll_min_3h,float64,°C,None,1680
TU-TEC-INT-U__roll_max_3h,float64,°C,None,1680
TU-TEC-INT-U__roll_mean_6h,float64,°C,None,1683
TU-TEC-INT-U__roll_std_6h,float64,°C,None,1683
TU-TEC-INT-U__roll_min_6h,float64,°C,None,1683
TU-TEC-INT-U__roll_max_6h,float64,°C,None,1683
TU-TEC-INT-U__roll_mean_12h,float64,°C,None,1683
TU-TEC-INT-U__roll_std_12h,float64,°C,None,1683
TU-TEC-INT-U__roll_min_12h,float64,°C,None,1683
TU-TEC-INT-U__roll_max_12h,float64,°C,None,1683
TU-TEC-INT-U__roll_mean_24h,float64,°C,None,1683
TU-TEC-INT-U__roll_std_24h,float64,°C,None,1683
TU-TEC-INT-U__roll_min_24h,float64,°C,None,1683
TU-TEC-INT-U__roll_max_24h,float64,°C,None,1683
TU-TEC-INT-L__roll_mean_3h,float64,°C,None,1680
TU-TEC-INT-L__roll_std_3h,float64,°C,None,1680
TU-TEC-INT-L__roll_min_3h,float64,°C,None,1680
TU-TEC-INT-L__roll_max_3h,float64,°C,None,1680
TU-TEC-INT-L__roll_mean_6h,float64,°C,None,1683
TU-TEC-INT-L__roll_std_6h,float64,°C,None,1683
TU-TEC-INT-L__roll_min_6h,float64,°C,None,1683
TU-TEC-INT-L__roll_max_6h,float64,°C,None,1683
TU-TEC-INT-L__roll_mean_12h,float64,°C,None,1683
TU-TEC-INT-L__roll_std_12h,float64,°C,None,1683
TU-TEC-INT-L__roll_min_12h,float64,°C,None,1683
TU-TEC-INT-L__roll_max_12h,float64,°C,None,1683
TU-TEC-INT-L__roll_mean_24h,float64,°C,None,1683
TU-TEC-INT-L__roll_std_24h,float64,°C,None,1683
TU-TEC-INT-L__roll_min_24h,float64,°C,None,1683
TU-TEC-INT-L__roll_max_24h,float64,°C,None,1683
TU-TEC-BOT-U__roll_mean_3h,float64,°C,None,1680
TU-TEC-BOT-U__roll_std_3h,float64,°C,None,1680
TU-TEC-BOT-U__roll_min_3h,float64,°C,None,1680
TU-TEC-BOT-U__roll_max_3h,float64,°C,None,1680
TU-TEC-BOT-U__roll_mean_6h,float64,°C,None,1683
TU-TEC-BOT-U__roll_std_6h,float64,°C,None,1683
TU-TEC-BOT-U__roll_min_6h,float64,°C,None,1683
TU-TEC-BOT-U__roll_max_6h,float64,°C,None,1683
TU-TEC-BOT-U__roll_mean_12h,float64,°C,None,1683
TU-TEC-BOT-U__roll_std_12h,float64,°C,None,1683
TU-TEC-BOT-U__roll_min_12h,float64,°C,None,1683
TU-TEC-BOT-U__roll_max_12h,float64,°C,None,1683
TU-TEC-BOT-U__roll_mean_24h,float64,°C,None,1683
TU-TEC-BOT-U__roll_std_24h,float64,°C,None,1683
TU-TEC-BOT-U__roll_min_24h,float64,°C,None,1683
TU-TEC-BOT-U__roll_max_24h,float64,°C,None,1683
TU-TEC-BOT-L__roll_mean_3h,float64,°C,None,1680
TU-TEC-BOT-L__roll_std_3h,float64,°C,None,1680
TU-TEC-BOT-L__roll_min_3h,float64,°C,None,1680
TU-TEC-BOT-L__roll_max_3h,float64,°C,None,1680
TU-TEC-BOT-L__roll_mean_6h,float64,°C,None,1683
TU-TEC-BOT-L__roll_std_6h,float64,°C,None,1683
TU-TEC-BOT-L__roll_min_6h,float64,°C,None,1683
TU-TEC-BOT-L__roll_max_6h,float64,°C,None,1683
TU-TEC-BOT-L__roll_mean_12h,float64,°C,None,1683
TU-TEC-BOT-L__roll_std_12h,float64,°C,None,1683
TU-TEC-BOT-L__roll_min_12h,float64,°C,None,1683
TU-TEC-BOT-L__roll_max_12h,float64,°C,None,1683
TU-TEC-BOT-L__roll_mean_24h,float64,°C,None,1683
TU-TEC-BOT-L__roll_std_24h,float64,°C,None,1683
TU-TEC-BOT-L__roll_min_24h,float64,°C,None,1683
TU-TEC-BOT-L__roll_max_24h,float64,°C,None,1683
TL Interval EC__roll_mean_3h,float64,µS/cm,None,1680
TL Interval EC__roll_std_3h,float64,µS/cm,None,1680
TL Interval EC__roll_min_3h,float64,µS/cm,None,1680
TL Interval EC__roll_max_3h,float64,µS/cm,None,1680
TL Interval EC__roll_mean_6h,float64,µS/cm,None,1683
TL Interval EC__roll_std_6h,float64,µS/cm,None,1683
TL Interval EC__roll_min_6h,float64,µS/cm,None,1683
TL Interval EC__roll_max_6h,float64,µS/cm,None,1683
TL Interval EC__roll_mean_12h,float64,µS/cm,None,1683
TL Interval EC__roll_std_12h,float64,µS/cm,None,1683
TL Interval EC__roll_min_12h,float64,µS/cm,None,1683
TL Interval EC__roll_max_12h,float64,µS/cm,None,1683
TL Interval EC__roll_mean_24h,float64,µS/cm,None,1683
TL Interval EC__roll_std_24h,float64,µS/cm,None,1683
TL Interval EC__roll_min_24h,float64,µS/cm,None,1683
TL Interval EC__roll_max_24h,float64,µS/cm,None,1683
TL Bottom EC__roll_mean_3h,float64,µS/cm,None,1680
TL Bottom EC__roll_std_3h,float64,µS/cm,None,1680
TL Bottom EC__roll_min_3h,float64,µS/cm,None,1680
TL Bottom EC__roll_max_3h,float64,µS/cm,None,1680
TL Bottom EC__roll_mean_6h,float64,µS/cm,None,1683
TL Bottom EC__roll_std_6h,float64,µS/cm,None,1683
TL Bottom EC__roll_min_6h,float64,µS/cm,None,1683
TL Bottom EC__roll_max_6h,float64,µS/cm,None,1683
TL Bottom EC__roll_mean_12h,float64,µS/cm,None,1683
TL Bottom EC__roll_std_12h,float64,µS/cm,None,1683
TL Bottom EC__roll_min_12h,float64,µS/cm,None,1683
TL Bottom EC__roll_max_12h,float64,µS/cm,None,1683
TL Bottom EC__roll_mean_24h,float64,µS/cm,None,1683
TL Bottom EC__roll_std_24h,float64,µS/cm,None,1683
TL Bottom EC__roll_min_24h,float64,µS/cm,None,1683
TL Bottom EC__roll_max_24h,float64,µS/cm,None,1683
TN Interval EC__roll_mean_3h,float64,µS/cm,None,1680
TN Interval EC__roll_std_3h,float64,µS/cm,None,1680
TN Interval EC__roll_min_3h,float64,µS/cm,None,1680
TN Interval EC__roll_max_3h,float64,µS/cm,None,1680
TN Interval EC__roll_mean_6h,float64,µS/cm,None,1683
TN Interval EC__roll_std_6h,float64,µS/cm,None,1683
TN Interval EC__roll_min_6h,float64,µS/cm,None,1683
TN Interval EC__roll_max_6h,float64,µS/cm,None,1683
TN Interval EC__roll_mean_12h,float64,µS/cm,None,1683
TN Interval EC__roll_std_12h,float64,µS/cm,None,1683
TN Interval EC__roll_min_12h,float64,µS/cm,None,1683
TN Interval EC__roll_max_12h,float64,µS/cm,None,1683
TN Interval EC__roll_mean_24h,float64,µS/cm,None,1683
TN Interval EC__roll_std_24h,float64,µS/cm,None,1683
TN Interval EC__roll_min_24h,float64,µS/cm,None,1683
TN Interval EC__roll_max_24h,float64,µS/cm,None,1683
TN Bottom EC__roll_mean_3h,float64,µS/cm,None,1680
TN Bottom EC__roll_std_3h,float64,µS/cm,None,1680
TN Bottom EC__roll_min_3h,float64,µS/cm,None,1680
TN Bottom EC__roll_max_3h,float64,µS/cm,None,1680
TN Bottom EC__roll_mean_6h,float64,µS/cm,None,1683
TN Bottom EC__roll_std_6h,float64,µS/cm,None,1683
TN Bottom EC__roll_min_6h,float64,µS/cm,None,1683
TN Bottom EC__roll_max_6h,float64,µS/cm,None,1683
TN Bottom EC__roll_mean_12h,float64,µS/cm,None,1683
TN Bottom EC__roll_std_12h,float64,µS/cm,None,1683
TN Bottom EC__roll_min_12h,float64,µS/cm,None,1683
TN Bottom EC__roll_max_12h,float64,µS/cm,None,1683
TN Bottom EC__roll_mean_24h,float64,µS/cm,None,1683
TN Bottom EC__roll_std_24h,float64,µS/cm,None,1683
TN Bottom EC__roll_min_24h,float64,µS/cm,None,1683
TN Bottom EC__roll_max_24h,float64,µS/cm,None,1683
TC Interval EC__roll_mean_3h,float64,µS/cm,None,1680
TC Interval EC__roll_std_3h,float64,µS/cm,None,1680
TC Interval EC__roll_min_3h,float64,µS/cm,None,1680
TC Interval EC__roll_max_3h,float64,µS/cm,None,1680
TC Interval EC__roll_mean_6h,float64,µS/cm,None,1683
TC Interval EC__roll_std_6h,float64,µS/cm,None,1683
TC Interval EC__roll_min_6h,float64,µS/cm,None,1683
TC Interval EC__roll_max_6h,float64,µS/cm,None,1683
TC Interval EC__roll_mean_12h,float64,µS/cm,None,1683
TC Interval EC__roll_std_12h,float64,µS/cm,None,1683
TC Interval EC__roll_min_12h,float64,µS/cm,None,1683
TC Interval EC__roll_max_12h,float64,µS/cm,None,1683
TC Interval EC__roll_mean_24h,float64,µS/cm,None,1683
TC Interval EC__roll_std_24h,float64,µS/cm,None,1683
TC Interval EC__roll_min_24h,float64,µS/cm,None,1683
TC Interval EC__roll_max_24h,float64,µS/cm,None,1683
TC Bottom EC__roll_mean_3h,float64,µS/cm,None,1680
TC Bottom EC__roll_std_3h,float64,µS/cm,None,1680
TC Bottom EC__roll_min_3h,float64,µS/cm,None,1680
TC Bottom EC__roll_max_3h,float64,µS/cm,None,1680
TC Bottom EC__roll_mean_6h,float64,µS/cm,None,1683
TC Bottom EC__roll_std_6h,float64,µS/cm,None,1683
TC Bottom EC__roll_min_6h,float64,µS/cm,None,1683
TC Bottom EC__roll_max_6h,float64,µS/cm,None,1683
TC Bottom EC__roll_mean_12h,float64,µS/cm,None,1683
TC Bottom EC__roll_std_12h,float64,µS/cm,None,1683
TC Bottom EC__roll_min_12h,float64,µS/cm,None,1683
TC Bottom EC__roll_max_12h,float64,µS/cm,None,1683
TC Bottom EC__roll_mean_24h,float64,µS/cm,None,1683
TC Bottom EC__roll_std_24h,float64,µS/cm,None,1683
TC Bottom EC__roll_min_24h,float64,µS/cm,None,1683
TC Bottom EC__roll_max_24h,float64,µS/cm,None,1683
TU Interval EC__roll_mean_3h,float64,µS/cm,None,1680
TU Interval EC__roll_std_3h,float64,µS/cm,None,1680
TU Interval EC__roll_min_3h,float64,µS/cm,None,1680
TU Interval EC__roll_max_3h,float64,µS/cm,None,1680
TU Interval EC__roll_mean_6h,float64,µS/cm,None,1683
TU Interval EC__roll_std_6h,float64,µS/cm,None,1683
TU Interval EC__roll_min_6h,float64,µS/cm,None,1683
TU Interval EC__roll_max_6h,float64,µS/cm,None,1683
TU Interval EC__roll_mean_12h,float64,µS/cm,None,1683
TU Interval EC__roll_std_12h,float64,µS/cm,None,1683
TU Interval EC__roll_min_12h,float64,µS/cm,None,1683
TU Interval EC__roll_max_12h,float64,µS/cm,None,1683
TU Interval EC__roll_mean_24h,float64,µS/cm,None,1683
TU Interval EC__roll_std_24h,float64,µS/cm,None,1683
TU Interval EC__roll_min_24h,float64,µS/cm,None,1683
TU Interval EC__roll_max_24h,float64,µS/cm,None,1683
TU Bottom EC__roll_mean_3h,float64,µS/cm,None,1680
TU Bottom EC__roll_std_3h,float64,µS/cm,None,1680
TU Bottom EC__roll_min_3h,float64,µS/cm,None,1680
TU Bottom EC__roll_max_3h,float64,µS/cm,None,1680
TU Bottom EC__roll_mean_6h,float64,µS/cm,None,1683
TU Bottom EC__roll_std_6h,float64,µS/cm,None,1683
TU Bottom EC__roll_min_6h,float64,µS/cm,None,1683
TU Bottom EC__roll_max_6h,float64,µS/cm,None,1683
TU Bottom EC__roll_mean_12h,float64,µS/cm,None,1683
TU Bottom EC__roll_std_12h,float64,µS/cm,None,1683
TU Bottom EC__roll_min_12h,float64,µS/cm,None,1683
TU Bottom EC__roll_max_12h,float64,µS/cm,None,1683
TU Bottom EC__roll_mean_24h,float64,µS/cm,None,1683
TU Bottom EC__roll_std_24h,float64,µS/cm,None,1683
TU Bottom EC__roll_min_24h,float64,µS/cm,None,1683
TU Bottom EC__roll_max_24h,float64,µS/cm,None,1683
TS Interval EC__roll_mean_3h,float64,µS/cm,None,1680
TS Interval EC__roll_std_3h,float64,µS/cm,None,1680
TS Interval EC__roll_min_3h,float64,µS/cm,None,1680
TS Interval EC__roll_max_3h,float64,µS/cm,None,1680
TS Interval EC__roll_mean_6h,float64,µS/cm,None,1683
TS Interval EC__roll_std_6h,float64,µS/cm,None,1683
TS Interval EC__roll_min_6h,float64,µS/cm,None,1683
TS Interval EC__roll_max_6h,float64,µS/cm,None,1683
TS Interval EC__roll_mean_12h,float64,µS/cm,None,1683
TS Interval EC__roll_std_12h,float64,µS/cm,None,1683
TS Interval EC__roll_min_12h,float64,µS/cm,None,1683
TS Interval EC__roll_max_12h,float64,µS/cm,None,1683
TS Interval EC__roll_mean_24h,float64,µS/cm,None,1683
TS Interval EC__roll_std_24h,float64,µS/cm,None,1683
TS Interval EC__roll_min_24h,float64,µS/cm,None,1683
TS Interval EC__roll_max_24h,float64,µS/cm,None,1683
TS Bottom EC__roll_mean_3h,float64,µS/cm,None,1680
TS Bottom EC__roll_std_3h,float64,µS/cm,None,1680
TS Bottom EC__roll_min_3h,float64,µS/cm,None,1680
TS Bottom EC__roll_max_3h,float64,µS/cm,None,1680
TS Bottom EC__roll_mean_6h,float64,µS/cm,None,1683
TS Bottom EC__roll_std_6h,float64,µS/cm,None,1683
TS Bottom EC__roll_min_6h,float64,µS/cm,None,1683
TS Bottom EC__roll_max_6h,float64,µS/cm,None,1683
TS Bottom EC__roll_mean_12h,float64,µS/cm,None,1683
TS Bottom EC__roll_std_12h,float64,µS/cm,None,1683
TS Bottom EC__roll_min_12h,float64,µS/cm,None,1683
TS Bottom EC__roll_max_12h,float64,µS/cm,None,1683
TS Bottom EC__roll_mean_24h,float64,µS/cm,None,1683
TS Bottom EC__roll_std_24h,float64,µS/cm,None,1683
TS Bottom EC__roll_min_24h,float64,µS/cm,None,1683
TS Bottom EC__roll_max_24h,float64,µS/cm,None,1683
Net Flow__roc_1h,float64,L/min,None,1680
Net Flow__roc_3h_per_h,float64,L/min,None,1676
Net Flow__accel_1h,float64,L/min,None,1678
Injection Pressure__roc_1h,float64,psi,None,1680
Injection Pressure__roc_3h_per_h,float64,psi,None,1676
Injection Pressure__accel_1h,float64,psi,None,1678
Injection EC__roc_1h,float64,µS/cm,None,1680
Injection EC__roc_3h_per_h,float64,µS/cm,None,1676
Injection EC__accel_1h,float64,µS/cm,None,1678
TC Interval Pressure__roc_1h,float64,psi,None,1680
TC Interval Pressure__roc_3h_per_h,float64,psi,None,1676
TC Interval Pressure__accel_1h,float64,psi,None,1678
Total_Production_Flow__roc_1h,float64,L/min,None,1701
Total_Production_Flow__roc_3h_per_h,float64,L/min,None,1699
Total_Production_Flow__accel_1h,float64,L/min,None,1700
Pressure_Differential__roc_1h,float64,psi,None,1680
Pressure_Differential__roc_3h_per_h,float64,psi,None,1676
Pressure_Differential__accel_1h,float64,psi,None,1678
TC_Impedance_Proxy__roc_1h,float64,psi / (L/min),None,1680
TC_Impedance_Proxy__roc_3h_per_h,float64,psi / (L/min),None,1676
TC_Impedance_Proxy__accel_1h,float64,psi / (L/min),None,1678
TL-TEC-INT-U__roc_1h,float64,°C,None,1680
TL-TEC-INT-U__roc_3h_per_h,float64,°C,None,1676
TL-TEC-INT-U__accel_1h,float64,°C,None,1678
TL-TEC-INT-L__roc_1h,float64,°C,None,1680
TL-TEC-INT-L__roc_3h_per_h,float64,°C,None,1676
TL-TEC-INT-L__accel_1h,float64,°C,None,1678
TL-TEC-BOT-U__roc_1h,float64,°C,None,1680
TL-TEC-BOT-U__roc_3h_per_h,float64,°C,None,1676
TL-TEC-BOT-U__accel_1h,float64,°C,None,1678
TL-TEC-BOT-L__roc_1h,float64,°C,None,1680
TL-TEC-BOT-L__roc_3h_per_h,float64,°C,None,1676
TL-TEC-BOT-L__accel_1h,float64,°C,None,1678
TN-TEC-INT-U__roc_1h,float64,°C,None,1680
TN-TEC-INT-U__roc_3h_per_h,float64,°C,None,1676
TN-TEC-INT-U__accel_1h,float64,°C,None,1678
TN-TEC-INT-L__roc_1h,float64,°C,None,1680
TN-TEC-INT-L__roc_3h_per_h,float64,°C,None,1676
TN-TEC-INT-L__accel_1h,float64,°C,None,1678
TN-TEC-BOT-U__roc_1h,float64,°C,None,1680
TN-TEC-BOT-U__roc_3h_per_h,float64,°C,None,1676
TN-TEC-BOT-U__accel_1h,float64,°C,None,1678
TN-TEC-BOT-L__roc_1h,float64,°C,None,1680
TN-TEC-BOT-L__roc_3h_per_h,float64,°C,None,1676
TN-TEC-BOT-L__accel_1h,float64,°C,None,1678
TC-TEC-INT-U__roc_1h,float64,°C,None,1680
TC-TEC-INT-U__roc_3h_per_h,float64,°C,None,1676
TC-TEC-INT-U__accel_1h,float64,°C,None,1678
TC-TEC-INT-L__roc_1h,float64,°C,None,1680
TC-TEC-INT-L__roc_3h_per_h,float64,°C,None,1676
TC-TEC-INT-L__accel_1h,float64,°C,None,1678
TC-TEC-BOT-U__roc_1h,float64,°C,None,1680
TC-TEC-BOT-U__roc_3h_per_h,float64,°C,None,1676
TC-TEC-BOT-U__accel_1h,float64,°C,None,1678
TC-TEC-BOT-L__roc_1h,float64,°C,None,1680
TC-TEC-BOT-L__roc_3h_per_h,float64,°C,None,1676
TC-TEC-BOT-L__accel_1h,float64,°C,None,1678
TU-TEC-INT-U__roc_1h,float64,°C,None,1680
TU-TEC-INT-U__roc_3h_per_h,float64,°C,None,1676
TU-TEC-INT-U__accel_1h,float64,°C,None,1678
TU-TEC-INT-L__roc_1h,float64,°C,None,1680
TU-TEC-INT-L__roc_3h_per_h,float64,°C,None,1676
TU-TEC-INT-L__accel_1h,float64,°C,None,1678
TU-TEC-BOT-U__roc_1h,float64,°C,None,1680
TU-TEC-BOT-U__roc_3h_per_h,float64,°C,None,1676
TU-TEC-BOT-U__accel_1h,float64,°C,None,1678
TU-TEC-BOT-L__roc_1h,float64,°C,None,1680
TU-TEC-BOT-L__roc_3h_per_h,float64,°C,None,1676
TU-TEC-BOT-L__accel_1h,float64,°C,None,1678
TL Interval EC__roc_1h,float64,µS/cm,None,1680
TL Interval EC__roc_3h_per_h,float64,µS/cm,None,1676
TL Interval EC__accel_1h,float64,µS/cm,None,1678
TL Bottom EC__roc_1h,float64,µS/cm,None,1680
TL Bottom EC__roc_3h_per_h,float64,µS/cm,None,1676
TL Bottom EC__accel_1h,float64,µS/cm,None,1678
TN Interval EC__roc_1h,float64,µS/cm,None,1680
TN Interval EC__roc_3h_per_h,float64,µS/cm,None,1676
TN Interval EC__accel_1h,float64,µS/cm,None,1678
TN Bottom EC__roc_1h,float64,µS/cm,None,1680
TN Bottom EC__roc_3h_per_h,float64,µS/cm,None,1676
TN Bottom EC__accel_1h,float64,µS/cm,None,1678
TC Interval EC__roc_1h,float64,µS/cm,None,1680
TC Interval EC__roc_3h_per_h,float64,µS/cm,None,1676
TC Interval EC__accel_1h,float64,µS/cm,None,1678
TC Bottom EC__roc_1h,float64,µS/cm,None,1680
TC Bottom EC__roc_3h_per_h,float64,µS/cm,None,1676
TC Bottom EC__accel_1h,float64,µS/cm,None,1678
TU Interval EC__roc_1h,float64,µS/cm,None,1680
TU Interval EC__roc_3h_per_h,float64,µS/cm,None,1676
TU Interval EC__accel_1h,float64,µS/cm,None,1678
TU Bottom EC__roc_1h,float64,µS/cm,None,1680
TU Bottom EC__roc_3h_per_h,float64,µS/cm,None,1676
TU Bottom EC__accel_1h,float64,µS/cm,None,1678
TS Interval EC__roc_1h,float64,µS/cm,None,1680
TS Interval EC__roc_3h_per_h,float64,µS/cm,None,1676
TS Interval EC__accel_1h,float64,µS/cm,None,1678
TS Bottom EC__roc_1h,float64,µS/cm,None,1680
TS Bottom EC__roc_3h_per_h,float64,µS/cm,None,1676
TS Bottom EC__accel_1h,float64,µS/cm,None,1678
TL-TEC-INT-U__mean_24h,float64,°C,None,1689
TL-TEC-INT-U__delta_vs_24hmean,float64,°C,None,1670
TL-TEC-INT-U__z_24h,float64,°C,None,1670
TL-TEC-INT-U__jump_flag_24h,int64,°C,None,1702
TL-TEC-INT-L__mean_24h,float64,°C,None,1689
TL-TEC-INT-L__delta_vs_24hmean,float64,°C,None,1670
TL-TEC-INT-L__z_24h,float64,°C,None,1670
TL-TEC-INT-L__jump_flag_24h,int64,°C,None,1702
TL-TEC-BOT-U__mean_24h,float64,°C,None,1689
TL-TEC-BOT-U__delta_vs_24hmean,float64,°C,None,1670
TL-TEC-BOT-U__z_24h,float64,°C,None,1670
TL-TEC-BOT-U__jump_flag_24h,int64,°C,None,1702
TL-TEC-BOT-L__mean_24h,float64,°C,None,1689
TL-TEC-BOT-L__delta_vs_24hmean,float64,°C,None,1670
TL-TEC-BOT-L__z_24h,float64,°C,None,1670
TL-TEC-BOT-L__jump_flag_24h,int64,°C,None,1702
TN-TEC-INT-U__mean_24h,float64,°C,None,1689
TN-TEC-INT-U__delta_vs_24hmean,float64,°C,None,1670
TN-TEC-INT-U__z_24h,float64,°C,None,1670
TN-TEC-INT-U__jump_flag_24h,int64,°C,None,1702
TN-TEC-INT-L__mean_24h,float64,°C,None,1689
TN-TEC-INT-L__delta_vs_24hmean,float64,°C,None,1670
TN-TEC-INT-L__z_24h,float64,°C,None,1670
TN-TEC-INT-L__jump_flag_24h,int64,°C,None,1702
TN-TEC-BOT-U__mean_24h,float64,°C,None,1689
TN-TEC-BOT-U__delta_vs_24hmean,float64,°C,None,1670
TN-TEC-BOT-U__z_24h,float64,°C,None,1670
TN-TEC-BOT-U__jump_flag_24h,int64,°C,None,1702
TN-TEC-BOT-L__mean_24h,float64,°C,None,1689
TN-TEC-BOT-L__delta_vs_24hmean,float64,°C,None,1670
TN-TEC-BOT-L__z_24h,float64,°C,None,1670
TN-TEC-BOT-L__jump_flag_24h,int64,°C,None,1702
TC-TEC-INT-U__mean_24h,float64,°C,None,1689
TC-TEC-INT-U__delta_vs_24hmean,float64,°C,None,1670
TC-TEC-INT-U__z_24h,float64,°C,None,1670
TC-TEC-INT-U__jump_flag_24h,int64,°C,None,1702
TC-TEC-INT-L__mean_24h,float64,°C,None,1689
